Last Traded Price (LTP),Last Traded Quantity,Volume,Bid Price,Bid Quantity,Ask Price,Ask Quantity,Open Interest (OI),Previous Close Price,Previous Open Interest,expiry_date,strike_price,option_type,underlying,implied volatility,In the money
47.35,8050,8050,47.1,150,47.25,1950,410150,619.5,60200,13JUL23,18800.0,CE,MAINIDX,11.34,False
4167.0,0,0,4167.0,0,4167.0,0,0,53.0,3250,27JUL23,13500.0,CE,MAINIDX,,True
5.3,0,0,3.9,100,5.25,50,0,230.0,8350,20JUL23,17000.0,PE,MAINIDX,20.71,False
1905.0,0,0,1886.65,50,1901.55,250,93050,20.0,700,26OCT23,17000.0,CE,MAINIDX,15.79,True
518.65,0,0,136.6,125,324.5,375,0,19.25,375,20JUL23,43200.0,PE,ALLBANKS,24.6,False
2500.0,0,0,2550.5,200,2722.55,750,0,52.25,5975,06JUL23,41400.0,CE,ALLBANKS,,True
2980.0,0,0,3023.15,50,3077.8,50,0,5.5,150,26DEC24,17000.0,CE,MAINIDX,13.02,True
327.85,173775,173775,327.55,200,328.3,200,1288875,2227.0,205800,06JUL23,44100.0,PE,ALLBANKS,21.95,True
117.2,0,0,9.55,25,99.05,1575,0,38.75,4725,13JUL23,46100.0,CE,ALLBANKS,26.06,False
8.0,18700,18700,7.95,5600,8.05,4250,168950,740.5,49200,13JUL23,19100.0,CE,MAINIDX,11.4,False
125.1,125,125,126.15,50,127.0,925,30300,157.0,6525,27JUL23,42400.0,PE,ALLBANKS,15.22,False
1049.75,950,950,1047.2,25,1049.65,25,124525,1427.25,25075,06JUL23,43000.0,CE,ALLBANKS,28.71,True
4.7,50,50,4.65,450,4.75,500,25050,171.5,9650,27JUL23,16200.0,PE,MAINIDX,24.77,False
3.5,150,150,3.45,50,3.55,900,4200,296.5,10700,13JUL23,17450.0,PE,MAINIDX,19.14,False
1496.45,0,0,1517.0,125,1530.15,50,47225,59.0,4850,27JUL23,45500.0,PE,ALLBANKS,12.55,True
2.7,0,0,2.65,50,2.7,1050,24200,649.0,6875,06JUL23,37500.0,PE,ALLBANKS,84.62,False
495.15,950,950,497.8,50,499.95,250,58850,315.0,9725,27JUL23,43900.0,PE,ALLBANKS,13.68,False
6.0,68240,68240,6.05,10360,6.1,400,1313080,4316.8,186320,04JUL23,19000.0,PE,FINANCIALS,,False
33.9,560,560,31.1,480,35.9,40,2080,448.4,7160,11JUL23,19000.0,PE,FINANCIALS,15.89,False
35.75,0,0,34.79,25,35.95,25,7400,66.75,3300,27JUL23,40800.0,PE,ALLBANKS,18.43,False
